mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,0.00967,0.57,0.717,0,0.0833,-4.914,0.029,111.91,0.321
0,0.0694,0.531,0.818,0.0096,0.263,-5.358,0.0452,90.767,0.471
0,0.0674,0.749,0.699,0.00192,0.0763,-13.108,0.0371,128.904,0.935
0,0.0107,0.748,0.74,2.18e-05,0.101,-6.01,0.0484,121.004,0.518
0,0.114,0.5,0.681,4.01e-05,0.139,-9.556,0.0672,119.46,0.745
0,0.058,0.727,0.588,5.46e-06,0.0414,-9.568,0.0253,104.413,0.964
0,0.151,0.851,0.551,0,0.0827,-5.177,0.0396,131.922,0.807
0,0.27,0.674,0.794,2.47e-06,0.211,-7.361,0.0726,129.292,0.685
0,0.382,0.539,0.884,0.00166,0.76,-6.53,0.0403,100.812,0.752
0,0.192,0.612,0.738,0,0.0779,-6.648,0.0479,81.327,0.883
0,0.589,0.538,0.127,0.00017,0.238,-16.057,0.0284,62.829,0.527
0,0.214,0.541,0.822,0.00314,0.0521,-10.978,0.049,116.659,0.719
0,0.0987,0.822,0.74,1.48e-05,0.0686,-10.527,0.0522,105.875,0.873
0,0.000855,0.534,0.943,0.0264,0.0697,-5.898,0.0845,101.754,0.823
0,0.0961,0.321,0.462,0,0.102,-10.711,0.0346,116.782,0.457
0,0.534,0.519,0.772,1.21e-05,0.271,-6.784,0.0331,79.618,0.961
0,0.148,0.652,0.74,0.012,0.352,-13.469,0.0411,125.741,0.687
0,0.204,0.686,0.714,0,0.0592,-4.809,0.0287,126.736,0.964
0,0.194,0.653,0.809,0,0.165,-4.057,0.0474,92.213,0.55
0,0.432,0.601,0.532,6.25e-06,0.0925,-9.119,0.0286,136.571,0.341
0,0.0107,0.78,0.542,0.306,0.0869,-10.99,0.0464,111.271,0.808
0,0.0485,0.962,0.66,0,0.076,-5.096,0.061,126.016,0.814
0,0.0123,0.666,0.83,0,0.191,-5.715,0.0751,113.03,0.702
0,0.217,0.806,0.513,0,0.217,-6.208,0.0685,124.988,0.503
0,0.216,0.595,0.784,0,0.0608,-4.878,0.102,124.111,0.479
0,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02,0.822
0,0.0971,0.688,0.662,1.34e-06,0.172,-5.57,0.0441,115.106,0.549
0,0.326,0.682,0.72,0,0.148,-8.173,0.0381,117.003,0.673
0,0.197,0.676,0.786,0,0.0943,-4.529,0.0478,125.983,0.483
0,0.0297,0.776,0.808,0.000127,0.103,-4.501,0.117,123.988,0.494
0,0.0643,0.705,0.776,2.81e-06,0.0246,-6.096,0.0445,116.011,0.366
0,0.198,0.794,0.706,0,0.0536,-6.066,0.0382,116.032,0.908
0,0.181,0.686,0.538,3.13e-06,0.113,-8.026,0.0345,115.884,0.584
0,0.274,0.558,0.877,0,0.162,-3.392,0.145,99.988,0.762
0,0.0599,0.476,0.594,0,0.0785,-6.879,0.135,159.702,0.314
0,0.0863,0.667,0.827,0,0.0565,-5.631,0.0368,107.95,0.573
0,0.0481,0.733,0.886,1.81e-06,0.191,-1.856,0.0426,126.031,0.696
0,0.163,0.662,0.489,0,0.172,-7.067,0.0525,102.04,0.506
0,0.217,0.669,0.629,0,0.366,-5.018,0.0803,110.865,0.294
0,0.198,0.747,0.537,1.26e-05,0.18,-5.76,0.0413,97.056,0.453
0,0.131,0.333,0.637,1.8e-05,0.149,-4.904,0.0581,139.898,0.132
0,0.124,0.499,0.898,7.2e-06,0.0832,-4.181,0.124,120.04,0.618
0,0.0931,0.733,0.786,0.0013,0.1,-7.494,0.0422,102.999,0.786
0,0.114,0.732,0.85,2.02e-06,0.0388,-5.999,0.0444,124.024,0.372
0,0.0209,0.749,0.674,0,0.169,-5.128,0.0366,123.055,0.711
0,0.000618,0.592,0.749,0.00122,0.166,-6.165,0.0295,127.038,0.799
